                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7276,                 1.5932,                 1.5152,                0.50238,                0.51036,                0.50812,                0.23991,                 1.8457,                 1.6102,                  1.583,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.7205,                 1.5741,                 1.5108,                 0.4946,                0.54007,                0.52296,                 0.2458,                 1.8416,                 1.5837,                 1.5681,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.7201,                 1.5514,                 1.5003,                 0.5165,                 0.5367,                0.52541,                0.24747,                 1.8439,                 1.5826,                 1.5872,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.7022,                 1.5148,                 1.4892,                 0.5077,                0.52767,                0.51428,                0.24241,                 1.8137,                 1.5745,                 1.5622,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.6906,                 1.5209,                 1.4822,                0.56082,                0.51929,                0.53212,                0.24976,                 1.8145,                 1.5429,                 1.5421,             0.00079213,             0.00079213,             0.00079213
                     39,                   1.69,                 1.4968,                 1.4808,                0.50766,                 0.5308,                0.52793,                0.24711,                 1.8356,                  1.594,                 1.5543,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.6837,                 1.4872,                 1.4793,                0.51317,                0.53244,                0.54635,                0.26063,                  1.813,                 1.5446,                 1.5466,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.6688,                 1.4703,                 1.4681,                0.52488,                 0.5173,                0.53416,                0.26226,                  1.827,                 1.5466,                 1.5564,               0.000755,               0.000755,               0.000755
                     42,                 1.6618,                 1.4435,                 1.4644,                0.55988,                0.51136,                0.53952,                0.25907,                 1.8119,                 1.5229,                  1.545,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.6475,                 1.4345,                 1.4509,                0.51838,                0.58298,                0.55762,                0.25763,                 1.8501,                 1.5108,                 1.5675,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.6342,                  1.404,                 1.4478,                0.51298,                0.56062,                0.54116,                0.25642,                 1.8177,                 1.5341,                 1.5637,             0.00071788,             0.00071788,             0.00071788
                     45,                  1.632,                 1.4032,                 1.4422,                0.57261,                0.54955,                0.55703,                0.26232,                 1.8386,                 1.5254,                 1.5582,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.6194,                 1.3805,                 1.4328,                0.53943,                0.52496,                0.55075,                0.26472,                  1.824,                 1.4965,                 1.5566,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.6148,                 1.3678,                 1.4211,                0.54484,                0.53449,                0.54229,                0.25992,                 1.8435,                  1.531,                 1.5719,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.6112,                 1.3693,                 1.4219,                0.56873,                0.52521,                0.54759,                0.26295,                 1.8245,                 1.5027,                 1.5605,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.6023,                 1.3454,                 1.4195,                0.55233,                0.52694,                0.54837,                0.26972,                 1.8217,                 1.4827,                 1.5535,               0.000656,               0.000656,               0.000656
                     50,                 1.6005,                  1.337,                 1.4178,                0.57426,                0.55699,                0.56873,                0.27017,                 1.8378,                 1.4768,                 1.5633,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.5857,                 1.3138,                 1.4049,                0.57178,                0.56316,                0.57541,                0.27802,                 1.8343,                 1.4533,                 1.5552,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.5733,                 1.2949,                 1.3994,                0.59408,                0.55743,                0.57816,                0.27242,                 1.8439,                 1.4472,                 1.5731,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.5745,                 1.2876,                 1.3951,                0.60108,                 0.5554,                0.57089,                0.26616,                 1.8432,                 1.4517,                 1.5595,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.5634,                 1.2849,                 1.3936,                0.58649,                0.57755,                0.58451,                0.27247,                 1.8692,                 1.4301,                 1.5787,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.5639,                 1.2664,                 1.3854,                0.59031,                0.57949,                0.58916,                0.28045,                 1.8244,                 1.4421,                 1.5455,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.5469,                 1.2488,                 1.3761,                0.56313,                0.58582,                0.58841,                0.27853,                 1.8378,                 1.4677,                 1.5555,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.5342,                 1.2272,                 1.3696,                0.61386,                 0.5518,                0.58066,                0.28009,                 1.8236,                 1.4488,                 1.5556,               0.000557,               0.000557,               0.000557
                     58,                 1.5321,                 1.2281,                 1.3696,                0.59239,                0.57962,                0.58915,                0.28243,                 1.8415,                 1.4203,                 1.5597,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.5259,                 1.2115,                 1.3557,                0.60064,                0.55961,                0.58906,                 0.2807,                 1.8452,                 1.4425,                  1.569,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.5128,                 1.2074,                 1.3538,                0.63666,                0.57471,                0.61006,                0.28959,                 1.8379,                 1.4063,                 1.5664,             0.00051988,             0.00051988,             0.00051988
