                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1151,                 6.2633,                 2.5695,                0.36323,                0.08398,                0.04115,                0.01239,                 2.6664,                 3.2616,                 2.3374,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.5756,                 3.4797,                 2.2031,                0.12802,                0.19947,                0.07818,                0.02762,                 2.4401,                 3.0372,                 2.1039,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.4113,                 2.9927,                 2.0524,                0.40652,                0.20318,                 0.1287,                 0.0462,                 2.2868,                 2.7144,                 1.9903,              0.0012249,              0.0012249,              0.0012249
                      4,                 2.3287,                 2.7974,                 1.9923,                0.48601,                0.25059,                0.20235,                0.07922,                 2.1929,                   2.47,                 1.8981,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.2466,                  2.637,                 1.9376,                0.26062,                 0.2835,                0.21155,                0.08849,                 2.1155,                 2.3356,                 1.7896,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.1778,                 2.5136,                  1.876,                 0.2989,                   0.29,                0.22871,                0.09541,                  2.088,                 2.3083,                 1.8115,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.1194,                   2.43,                  1.832,                0.34727,                0.26467,                0.25907,                0.11063,                 2.0306,                 2.2108,                 1.7322,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.0998,                 2.3699,                 1.8024,                 0.3129,                 0.3337,                0.27005,                0.11227,                 2.0623,                 2.2636,                 1.8044,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.0814,                 2.3283,                 1.8048,                0.31658,                0.30719,                 0.2891,                0.12171,                 2.0303,                  2.133,                 1.7404,               0.001151,               0.001151,               0.001151
                     10,                 2.0415,                 2.2209,                 1.7603,                0.32215,                0.37619,                 0.3013,                0.12474,                 1.9548,                 2.1145,                 1.6863,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.0099,                 2.2002,                  1.752,                0.60623,                0.28888,                0.32117,                0.13954,                 1.9703,                 2.0125,                 1.6956,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.9964,                 2.1547,                 1.7358,                0.34413,                0.32215,                0.33407,                0.14911,                 1.9248,                 1.9737,                 1.6841,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.9793,                 2.1166,                 1.7151,                0.37747,                0.33727,                0.34312,                0.14463,                 1.9392,                 2.0103,                 1.6773,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.9645,                 2.0823,                 1.7018,                0.34815,                0.32697,                0.32772,                0.15236,                 1.9123,                  1.983,                 1.6443,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.9497,                 2.0444,                 1.6963,                0.42673,                 0.3638,                0.36272,                0.16612,                   1.89,                 1.9227,                 1.6247,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.9286,                 2.0225,                 1.6763,                0.39322,                0.39881,                0.37931,                0.17083,                  1.912,                 1.8754,                 1.6495,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.9143,                 1.9875,                 1.6656,                0.45945,                0.44086,                 0.4029,                 0.1816,                  1.905,                 1.8099,                 1.6449,               0.001052,               0.001052,               0.001052
                     18,                 1.9092,                 1.9448,                 1.6614,                0.39071,                 0.4513,                 0.3938,                0.17504,                 1.8878,                 1.8274,                 1.6223,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.8782,                 1.9371,                 1.6425,                0.35422,                0.46861,                0.40952,                0.18233,                 1.8927,                 1.8341,                 1.6387,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.8643,                  1.888,                 1.6302,                0.41687,                0.42982,                0.40171,                0.18358,                 1.8774,                 1.8512,                 1.6015,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.8614,                 1.8729,                  1.623,                0.43814,                0.45951,                0.41441,                0.18898,                 1.8372,                 1.7955,                 1.5979,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.8469,                 1.8485,                 1.6134,                0.52148,                0.41417,                0.42837,                 0.1959,                 1.8748,                 1.7576,                 1.6321,             0.00099013,             0.00099013,             0.00099013
                     23,                  1.848,                 1.8333,                 1.6108,                0.43755,                0.48483,                0.42731,                0.19253,                 1.8672,                 1.7937,                 1.6006,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.8412,                 1.8137,                 1.6018,                0.40533,                0.46746,                0.41459,                0.18656,                  1.861,                 1.7583,                 1.6018,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.8089,                 1.7686,                 1.5929,                0.39239,                0.46333,                0.42992,                0.19692,                 1.8692,                 1.7245,                 1.5944,               0.000953,               0.000953,               0.000953
                     26,                 1.7977,                 1.7404,                 1.5796,                0.40109,                0.49261,                0.44012,                0.20433,                 1.8252,                 1.7205,                  1.558,             0.00094062,             0.00094062,             0.00094062
                     27,                  1.794,                 1.7367,                 1.5769,                 0.5025,                 0.5284,                0.49362,                0.22021,                 1.8384,                 1.6612,                 1.5958,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.7901,                 1.7269,                 1.5727,                0.46532,                0.49126,                 0.4833,                0.22166,                 1.8631,                 1.6677,                 1.5975,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.7618,                 1.6883,                  1.558,                0.48184,                 0.4694,                 0.4651,                0.21903,                 1.8164,                 1.6811,                 1.5629,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.7684,                 1.6814,                 1.5558,                0.50044,                0.49652,                0.48671,                 0.2189,                  1.847,                  1.645,                 1.5904,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.7536,                 1.6332,                 1.5437,                0.52231,                0.53333,                0.52421,                0.23775,                 1.8634,                 1.5977,                 1.5749,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.7386,                 1.6306,                 1.5335,                0.52076,                0.52126,                0.51637,                0.23714,                 1.8429,                 1.6269,                  1.568,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.7263,                 1.5944,                 1.5263,                0.51704,                0.52257,                0.51131,                0.23655,                 1.8522,                 1.6017,                 1.5831,               0.000854,               0.000854,               0.000854
                     34,                 1.7192,                 1.5887,                 1.5154,                0.48828,                0.55565,                0.50594,                0.23568,                 1.8501,                 1.5784,                 1.5799,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.7206,                 1.5765,                  1.517,                0.51693,                0.51779,                0.51693,                0.23848,                 1.8211,                 1.5824,                 1.5672,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.7158,                 1.5509,                 1.5064,                0.58067,                0.51738,                0.54058,                0.24793,                 1.8329,                   1.57,                 1.5704,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.7009,                 1.5179,                 1.4954,                0.52677,                0.53198,                0.53979,                0.25099,                 1.8287,                 1.5786,                 1.5637,              0.0008045,              0.0008045,              0.0008045
                     38,                   1.69,                 1.5206,                 1.4915,                0.52403,                0.55093,                0.53909,                0.24907,                 1.8305,                 1.5449,                 1.5616,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.6895,                 1.5056,                 1.4879,                0.53671,                 0.5477,                0.53768,                0.24673,                 1.8377,                 1.5381,                 1.5552,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.6812,                 1.4996,                 1.4862,                0.48837,                0.55751,                0.53393,                0.24781,                 1.8066,                 1.5359,                 1.5537,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.6722,                 1.4715,                 1.4768,                0.52115,                0.54206,                0.53932,                0.24808,                 1.8192,                  1.557,                 1.5609,               0.000755,               0.000755,               0.000755
                     42,                 1.6516,                 1.4425,                 1.4645,                0.58334,                0.51751,                0.55741,                0.25812,                 1.8153,                 1.5117,                 1.5594,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.6593,                 1.4604,                 1.4701,                0.58585,                0.54893,                0.56486,                0.25772,                 1.8353,                 1.4935,                 1.5879,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.6336,                 1.4165,                  1.458,                0.56367,                0.56147,                0.55761,                0.25538,                 1.8445,                 1.5097,                 1.5646,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.6342,                 1.4137,                 1.4551,                 0.6239,                0.52597,                0.56454,                0.25604,                 1.8461,                 1.4871,                 1.5616,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.6223,                 1.3869,                 1.4433,                0.54656,                0.56275,                0.57385,                0.25249,                 1.8538,                 1.4978,                 1.5812,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.6187,                 1.3806,                 1.4327,                0.58454,                0.57134,                0.57524,                 0.2585,                 1.8461,                 1.4971,                 1.5683,             0.00068075,             0.00068075,             0.00068075
                     48,                  1.607,                 1.3712,                 1.4255,                0.58558,                0.52488,                 0.5527,                0.25814,                 1.8508,                 1.5068,                 1.5654,             0.00066838,             0.00066838,             0.00066838
                     49,                  1.604,                 1.3449,                 1.4279,                0.59058,                0.56134,                 0.5709,                0.27028,                 1.8316,                 1.4914,                 1.5558,               0.000656,               0.000656,               0.000656
                     50,                 1.5978,                 1.3429,                 1.4253,                0.55404,                0.56949,                0.57754,                0.26759,                  1.834,                 1.4647,                 1.5651,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.5858,                 1.3396,                 1.4158,                0.57347,                0.57366,                0.58635,                0.27562,                 1.8275,                 1.4671,                   1.56,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.5805,                 1.3118,                 1.4101,                0.59819,                0.57798,                0.59044,                0.27495,                 1.8402,                 1.4329,                 1.5575,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.5706,                 1.3007,                  1.401,                0.58329,                0.57817,                0.58491,                0.27206,                 1.8543,                 1.4695,                 1.5744,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.5724,                  1.296,                 1.4065,                0.58908,                 0.5853,                0.58791,                0.27027,                 1.8279,                 1.4548,                 1.5704,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.5662,                 1.2807,                 1.3939,                0.58313,                0.55516,                0.57717,                0.27366,                 1.8494,                 1.4415,                 1.5728,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.5409,                 1.2519,                 1.3804,                0.63727,                0.55112,                 0.5989,                0.27967,                 1.8261,                 1.4498,                 1.5632,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.5373,                 1.2426,                 1.3773,                0.58352,                0.58482,                0.59604,                0.27938,                 1.8335,                 1.4226,                 1.5552,               0.000557,               0.000557,               0.000557
                     58,                 1.5443,                 1.2636,                 1.3883,                0.62839,                0.58362,                0.62085,                0.28262,                 1.8239,                 1.4065,                 1.5575,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.5169,                 1.2179,                 1.3596,                0.59515,                0.57408,                0.60877,                0.28521,                 1.8265,                 1.3881,                 1.5669,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.5103,                 1.2044,                 1.3627,                0.57477,                0.60555,                0.60875,                0.28271,                 1.8554,                 1.3986,                  1.569,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.5095,                 1.2003,                 1.3534,                0.64468,                0.54865,                0.60764,                0.28052,                 1.8541,                 1.4077,                  1.565,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.5068,                 1.1916,                 1.3594,                0.62108,                0.57813,                0.60126,                0.28457,                 1.8563,                 1.4037,                 1.5733,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.4929,                 1.1801,                 1.3528,                0.59036,                0.60517,                0.61663,                0.28863,                 1.8402,                  1.383,                 1.5598,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.4865,                 1.1692,                 1.3442,                0.58584,                0.60104,                0.61148,                0.28527,                 1.8542,                 1.3776,                 1.5657,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.4813,                 1.1619,                   1.34,                0.59303,                0.60036,                0.60775,                0.28191,                 1.8682,                 1.3846,                 1.5712,               0.000458,               0.000458,               0.000458
                     66,                 1.4737,                 1.1404,                 1.3289,                0.64829,                0.56863,                 0.6201,                0.28775,                 1.8664,                 1.3777,                 1.5818,             0.00044563,             0.00044563,             0.00044563
