                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1195,                 6.1956,                 2.6077,                0.35365,                0.07618,                0.03931,                0.01111,                 2.7076,                 3.3377,                 2.3701,             0.00041635,             0.00041635,             0.00041635
                      2,                 2.5682,                  3.489,                 2.2406,                0.13307,                0.11338,                0.07971,                0.02379,                 2.4777,                 2.9261,                  2.177,             0.00082477,             0.00082477,             0.00082477
                      3,                 2.4212,                 3.0172,                 2.1024,                0.40132,                0.20923,                0.12252,                0.04208,                 2.3516,                 2.6276,                 2.0795,              0.0012249,              0.0012249,              0.0012249
                      4,                 2.3179,                 2.8121,                 2.0339,                0.44911,                0.17063,                0.16337,                0.06327,                 2.2301,                 2.5191,                 1.9689,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.2469,                 2.6509,                 1.9618,                0.32655,                0.27913,                0.21505,                0.08329,                 2.1531,                 2.4134,                 1.8852,              0.0012005,              0.0012005,              0.0012005
                      6,                  2.194,                 2.5328,                 1.9184,                0.33399,                 0.3079,                0.22841,                0.09641,                 2.0805,                 2.2837,                 1.8323,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.1297,                 2.4478,                 1.8749,                0.29852,                0.25767,                0.23486,                0.09843,                 2.0659,                 2.2557,                  1.806,              0.0011757,              0.0011757,              0.0011757
                      8,                 2.0972,                 2.3798,                 1.8398,                0.38666,                 0.3453,                0.28246,                0.12221,                 1.9979,                 2.1632,                 1.7687,              0.0011634,              0.0011634,              0.0011634
                      9,                 2.0757,                 2.3401,                 1.8356,                0.39005,                0.33531,                0.30818,                0.13206,                 1.9891,                 2.1375,                 1.7623,               0.001151,               0.001151,               0.001151
                     10,                 2.0442,                 2.2404,                 1.8084,                0.34052,                0.37716,                0.29233,                0.12126,                 1.9675,                 2.1355,                 1.7892,              0.0011386,              0.0011386,              0.0011386
                     11,                 2.0264,                 2.2159,                 1.7966,                0.38228,                0.32392,                0.30647,                 0.1311,                  1.969,                 2.0658,                 1.7479,              0.0011263,              0.0011263,              0.0011263
                     12,                 2.0019,                 2.1548,                 1.7674,                 0.3335,                0.30407,                0.32521,                 0.1427,                 1.9107,                 2.0511,                 1.6944,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.9775,                 2.1253,                 1.7528,                0.37355,                 0.3718,                0.33245,                0.14585,                 1.9234,                 1.9781,                 1.7091,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.9618,                 2.1075,                 1.7403,                0.35429,                0.38726,                0.32941,                0.14577,                 1.9135,                 2.0305,                 1.7131,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.9512,                 2.0625,                 1.7328,                 0.3732,                0.42502,                0.35894,                0.15928,                 1.8755,                 1.9622,                 1.6699,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.9241,                 2.0366,                 1.7133,                0.50433,                 0.3828,                0.38905,                 0.1673,                 1.9054,                 1.9014,                 1.7015,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.9194,                 1.9997,                 1.6999,                0.41651,                0.41907,                0.38434,                0.17272,                 1.8871,                 1.8749,                 1.6517,               0.001052,               0.001052,               0.001052
                     18,                 1.9052,                 1.9818,                 1.6936,                0.38202,                0.44194,                0.38546,                0.16835,                 1.8852,                 1.8885,                 1.6686,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.8726,                 1.9558,                 1.6699,                0.44342,                 0.4305,                 0.4041,                0.18156,                 1.8772,                 1.8584,                 1.6541,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.8795,                 1.9214,                 1.6682,                0.41643,                0.46456,                0.41202,                0.17983,                  1.873,                  1.852,                 1.6433,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.8584,                 1.8903,                 1.6513,                0.42571,                0.43171,                0.38993,                0.18036,                 1.8608,                 1.8166,                 1.6337,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.8529,                 1.8764,                 1.6455,                0.46735,                 0.4334,                0.43224,                0.19114,                  1.863,                 1.8035,                 1.6375,             0.00099013,             0.00099013,             0.00099013
