                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5755,                 1.2738,                 1.3789,                0.64143,                0.57587,                0.61906,                0.28934,                 1.7879,                  1.385,                 1.5106,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.5667,                 1.2444,                 1.3712,                0.63465,                0.54586,                0.60189,                0.28737,                 1.7814,                 1.3905,                 1.5092,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.5468,                 1.2234,                 1.3525,                   0.63,                0.58896,                0.61543,                0.29679,                 1.7873,                 1.3772,                 1.5058,              0.0008045,              0.0008045,              0.0008045
                     38,                  1.549,                 1.2196,                 1.3558,                0.59936,                0.63032,                 0.6236,                0.29609,                 1.7644,                 1.3575,                   1.48,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.5371,                 1.1912,                 1.3484,                0.60052,                0.62282,                0.62107,                0.30055,                 1.7811,                 1.3339,                 1.5012,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.5276,                 1.1855,                  1.343,                  0.631,                0.60049,                0.63278,                0.29637,                 1.8089,                 1.3469,                 1.5041,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.5237,                 1.1909,                 1.3368,                0.60424,                0.60888,                0.61718,                0.29805,                 1.7794,                 1.3525,                 1.5026,               0.000755,               0.000755,               0.000755
                     42,                 1.5155,                 1.1622,                 1.3355,                0.64418,                0.61127,                0.62716,                0.29654,                 1.7961,                 1.3589,                 1.5031,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.5031,                 1.1609,                 1.3293,                0.59516,                 0.5829,                0.60187,                0.28459,                 1.8148,                 1.3862,                 1.5104,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.4834,                 1.1315,                   1.32,                0.62904,                0.57628,                0.61154,                0.28552,                 1.8385,                 1.3946,                 1.5339,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.4813,                 1.1242,                 1.3176,                 0.6104,                0.59738,                0.61568,                0.30122,                 1.7957,                 1.3308,                 1.4921,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.4656,                 1.1029,                 1.2987,                0.62681,                0.60013,                0.62965,                0.29623,                 1.8124,                  1.345,                 1.5043,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.4633,                 1.0864,                 1.2894,                0.60294,                0.59416,                0.60996,                0.28902,                 1.8277,                  1.358,                 1.5214,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.4504,                 1.0802,                  1.288,                0.66191,                0.60936,                0.63342,                0.29939,                 1.8111,                 1.3616,                 1.5002,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.4412,                 1.0626,                 1.2825,                0.63418,                0.59838,                0.63719,                0.30627,                  1.797,                 1.3215,                 1.4975,               0.000656,               0.000656,               0.000656
                     50,                 1.4429,                  1.061,                 1.2883,                 0.6188,                0.63594,                0.64488,                0.30834,                 1.8158,                 1.2988,                 1.5321,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.4345,                 1.0575,                 1.2747,                 0.6321,                0.61658,                0.63406,                0.30597,                 1.8059,                 1.3035,                  1.516,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.4297,                 1.0315,                 1.2781,                0.66991,                 0.5929,                0.63418,                0.30039,                 1.8382,                 1.3011,                 1.5388,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.4211,                 1.0375,                 1.2679,                0.67901,                0.60068,                0.64527,                0.31173,                 1.8029,                 1.3013,                 1.4923,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.4134,                 1.0124,                 1.2656,                0.64166,                0.61542,                0.63077,                0.30026,                  1.812,                 1.3147,                 1.5177,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.4024,                  1.002,                 1.2539,                 0.6565,                0.61592,                0.64857,                0.31069,                 1.7958,                 1.2775,                 1.5161,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.3979,                 1.0122,                 1.2532,                0.62981,                0.63405,                0.64527,                0.30842,                  1.807,                 1.2849,                  1.514,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.3816,                0.97493,                  1.242,                0.62582,                0.60696,                0.63604,                0.30247,                 1.8135,                 1.3003,                 1.5087,               0.000557,               0.000557,               0.000557
                     58,                 1.3771,                0.97384,                 1.2413,                0.65497,                0.61435,                0.63945,                0.30516,                 1.8138,                 1.2677,                 1.5244,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.3697,                0.96465,                 1.2293,                0.61295,                0.64079,                0.65181,                0.31541,                 1.8024,                 1.2532,                 1.5267,             0.00053225,             0.00053225,             0.00053225
                     60,                  1.355,                0.94986,                 1.2279,                0.62741,                0.61785,                0.63758,                0.30345,                 1.8269,                 1.2743,                  1.523,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.3535,                0.94358,                 1.2211,                0.63017,                0.61725,                0.63288,                0.30646,                 1.8243,                 1.2842,                 1.5249,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.3448,                0.94523,                 1.2248,                0.69162,                0.60788,                0.65294,                0.31546,                 1.8256,                 1.2688,                 1.5268,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.3419,                0.94353,                 1.2138,                0.66165,                0.63153,                0.65322,                0.31151,                  1.811,                 1.2672,                 1.5217,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.3221,                0.92863,                 1.2092,                0.67636,                 0.6072,                0.64541,                0.31545,                 1.8102,                 1.2715,                 1.5106,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.3275,                0.91529,                 1.2055,                0.65841,                0.61769,                0.64285,                0.30585,                 1.8122,                 1.2695,                  1.505,               0.000458,               0.000458,               0.000458
                     66,                 1.3152,                0.90415,                    1.2,                0.67002,                  0.609,                0.64686,                0.31733,                 1.8167,                 1.2547,                 1.5124,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.3039,                0.89632,                  1.193,                0.67113,                0.64028,                 0.6564,                0.31942,                 1.8183,                 1.2619,                 1.5258,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.2939,                0.88456,                 1.1852,                0.67558,                0.62503,                0.66055,                0.32143,                 1.8248,                 1.2559,                 1.5283,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.2946,                0.87678,                 1.1877,                0.67844,                0.64327,                0.66913,                0.32096,                 1.8369,                 1.2645,                 1.5415,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.2855,                0.87104,                 1.1839,                0.66816,                0.61297,                0.65304,                0.31442,                 1.8285,                 1.2525,                 1.5378,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.2703,                0.86105,                 1.1777,                0.66033,                0.62997,                0.65628,                0.32148,                 1.8216,                 1.2608,                 1.5133,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.2699,                0.85373,                 1.1726,                0.66241,                0.63452,                0.64795,                0.31934,                 1.8319,                 1.2868,                 1.5329,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.2566,                0.84738,                  1.169,                0.66443,                0.62155,                 0.6555,                 0.3212,                 1.8169,                 1.2708,                 1.5279,               0.000359,               0.000359,               0.000359
                     74,                 1.2464,                0.84114,                 1.1652,                0.69739,                0.62001,                0.66041,                0.32386,                 1.8381,                 1.2536,                 1.5397,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.2442,                0.84395,                 1.1631,                0.67766,                 0.6378,                0.65837,                0.32352,                 1.8342,                 1.2547,                 1.5321,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.2425,                0.83329,                 1.1579,                  0.705,                0.61623,                0.65154,                0.31884,                 1.8423,                 1.2542,                 1.5425,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.2242,                0.81584,                 1.1468,                0.66198,                0.64487,                0.66089,                0.32109,                 1.8409,                 1.2576,                 1.5498,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.2248,                0.82108,                 1.1525,                0.69065,                0.60661,                0.64503,                0.31319,                  1.841,                 1.2766,                 1.5628,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.2238,                0.81676,                 1.1458,                0.69635,                 0.6269,                0.65821,                0.31498,                 1.8347,                 1.2697,                 1.5532,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.2062,                0.80025,                 1.1417,                0.66743,                0.61938,                0.65204,                0.31772,                  1.827,                 1.2811,                 1.5511,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.2163,                0.81239,                 1.1447,                0.66955,                0.63229,                0.65904,                0.31649,                 1.8311,                  1.291,                 1.5462,                0.00026,                0.00026,                0.00026
                     82,                 1.1932,                0.78679,                 1.1339,                0.68782,                0.62586,                0.66223,                0.32043,                 1.8267,                 1.2819,                 1.5358,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.1959,                0.80166,                 1.1354,                0.66499,                0.62298,                0.64786,                0.31596,                 1.8242,                 1.2636,                 1.5312,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.1947,                0.78672,                 1.1286,                0.68186,                0.60162,                0.63632,                0.31364,                 1.8173,                 1.2673,                 1.5355,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.1803,                0.78362,                 1.1303,                0.67746,                0.60621,                0.64665,                  0.318,                 1.8216,                 1.2823,                  1.543,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.1808,                0.77296,                 1.1214,                0.66226,                0.61839,                0.64112,                0.31619,                 1.8255,                 1.3007,                 1.5441,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.1666,                 0.7689,                 1.1189,                0.67926,                0.60574,                0.64731,                0.31623,                 1.8432,                 1.3001,                 1.5593,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.1614,                0.77904,                 1.1135,                0.68111,                0.60913,                0.64754,                0.32075,                 1.8397,                 1.2886,                 1.5572,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.1549,                0.76528,                 1.1112,                0.66463,                0.62226,                0.64372,                0.31801,                 1.8367,                 1.2894,                   1.56,               0.000161,               0.000161,               0.000161
                     90,                 1.1499,                0.74962,                 1.1034,                0.65646,                0.62232,                0.64043,                  0.315,                 1.8404,                 1.3082,                 1.5621,             0.00014862,             0.00014862,             0.00014862
                     91,                  1.111,                0.66494,                 1.0926,                 0.6449,                0.63876,                0.64815,                 0.3119,                 1.8509,                 1.3001,                 1.5646,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.0747,                0.63287,                  1.075,                0.65543,                0.63606,                0.65284,                  0.317,                 1.8521,                 1.2979,                 1.5613,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.0569,                0.62076,                 1.0669,                0.67202,                0.60845,                0.65586,                0.31533,                 1.8549,                 1.3058,                 1.5728,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.0585,                0.61489,                 1.0719,                0.70641,                 0.6035,                0.65616,                0.31571,                  1.849,                 1.3018,                 1.5762,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.0465,                0.61176,                 1.0634,                0.71488,                0.60316,                0.65656,                0.31446,                 1.8576,                 1.3001,                 1.5858,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.0386,                0.60275,                 1.0626,                0.68223,                0.61154,                0.65557,                0.31614,                  1.854,                 1.3052,                 1.5737,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.0303,                0.59966,                 1.0552,                0.71151,                 0.5999,                0.65331,                0.31762,                 1.8601,                 1.2988,                 1.5831,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.0278,                0.59911,                 1.0567,                0.71102,                0.59501,                0.65437,                0.31698,                 1.8582,                 1.2979,                 1.5764,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.0227,                0.59506,                 1.0578,                0.70264,                0.59228,                0.64814,                0.31831,                 1.8579,                 1.3002,                 1.5786,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                  1.008,                0.58805,                 1.0462,                0.65509,                0.61955,                0.64578,                0.31756,                 1.8583,                 1.3052,                 1.5823,             2.4875e-05,             2.4875e-05,             2.4875e-05
