                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6888,                 1.5244,                 1.4606,                0.51719,                0.52602,                0.53594,                0.24661,                 1.8077,                 1.5618,                 1.5375,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.6643,                 1.4769,                  1.439,                0.50622,                0.54115,                0.53936,                0.24601,                 1.7995,                 1.5405,                 1.5378,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.6682,                 1.4747,                 1.4346,                0.54393,                0.56187,                0.54079,                0.25542,                 1.7996,                  1.512,                 1.5201,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.6524,                 1.4469,                 1.4316,                0.50999,                0.55226,                0.52863,                0.25081,                 1.7574,                 1.5327,                 1.5136,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.6341,                 1.4251,                 1.4138,                0.61213,                0.54227,                0.56437,                0.25178,                 1.8084,                 1.5125,                 1.5216,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.6526,                  1.451,                  1.419,                0.52983,                0.54164,                 0.5357,                 0.2472,                 1.8135,                 1.5433,                  1.523,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.6217,                 1.4032,                 1.4016,                0.59687,                0.56987,                0.56195,                0.26565,                  1.795,                 1.4697,                 1.5196,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.6272,                 1.3981,                 1.4041,                0.55664,                0.56637,                0.56172,                0.26013,                 1.8281,                 1.4833,                 1.5275,               0.000755,               0.000755,               0.000755
                     42,                 1.6149,                 1.3634,                 1.4022,                0.55349,                0.55446,                0.55925,                0.26254,                 1.8137,                  1.498,                 1.5076,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.6088,                 1.3677,                 1.3809,                0.54596,                0.58592,                0.58202,                0.27322,                 1.7481,                 1.4676,                 1.4734,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.6069,                 1.3478,                  1.386,                 0.5376,                 0.5728,                0.57656,                0.26699,                 1.7781,                 1.4627,                 1.5101,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.5979,                 1.3299,                 1.3799,                0.53942,                0.58473,                0.56622,                0.26615,                  1.793,                   1.45,                 1.4988,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.5831,                 1.3418,                 1.3833,                0.54758,                0.54863,                0.56122,                0.26924,                 1.7911,                 1.4567,                 1.5049,             0.00069313,             0.00069313,             0.00069313
                     47,                  1.567,                 1.3012,                 1.3607,                0.56763,                0.56424,                0.57414,                0.27504,                 1.7836,                 1.4506,                 1.4783,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.5771,                 1.2973,                 1.3585,                0.53863,                0.58288,                0.57425,                0.27104,                 1.7955,                 1.4364,                 1.4977,             0.00066838,             0.00066838,             0.00066838
                     49,                  1.567,                 1.2886,                 1.3561,                0.56915,                0.57414,                0.58355,                0.27828,                 1.7791,                  1.448,                 1.4995,               0.000656,               0.000656,               0.000656
                     50,                 1.5633,                 1.2873,                 1.3558,                0.58313,                0.55478,                0.58984,                0.27215,                 1.7917,                 1.4426,                 1.4893,             0.00064362,             0.00064362,             0.00064362
                     51,                   1.57,                 1.2727,                 1.3677,                0.56091,                0.57079,                0.57804,                0.26939,                 1.7898,                 1.4474,                 1.4968,             0.00063125,             0.00063125,             0.00063125
                     52,                  1.548,                 1.2754,                 1.3497,                0.58337,                0.59424,                 0.6054,                0.28224,                 1.7825,                    1.4,                 1.4936,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.5461,                 1.2376,                 1.3422,                0.62373,                0.55144,                0.59041,                0.27146,                 1.7701,                 1.4511,                 1.4734,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.5314,                  1.233,                  1.346,                0.55501,                0.57352,                0.58099,                0.27599,                 1.8052,                 1.4268,                 1.5028,             0.00059413,             0.00059413,             0.00059413
